url,site_lot_id,actual_bid,opening_date,ending_date,minimal_increment,lot_status,brand,model,year,appraisal_value,location
https://www.lut.com.br//lote/motocicleta-suzuki-bandit/83623,83623,"R$ 20.600,00",23/04/2021,26/04/2021 10:30:00,"R$ 1.000,00",Fechado,SUZUKI,SUZUKI BANDIT 1250,Not found,"R$ 20.600,00",VALINHOS/SP
https://www.lut.com.br//lote/veiculo-chevrolet-chevette-sl/83599,83599,"R$ 3.200,00",23/04/2021,26/04/2021 09:30:00,"R$ 150,00",Fechado,Chevrolet,CHEVROLET CHEVETTE SL,1984,"R$ 3.200,00",FRANCA/SP
https://www.lut.com.br//lote/veiculo-ford-ka-flex/83621,83621,"R$ 16.560,00",23/04/2021,26/04/2021 09:30:00,"R$ 1.000,00",Fechado,Ford,FORD KA FLEX,2010,"R$ 16.560,00",BRAGANÇA PAULISTA/SP
https://www.lut.com.br//lote/veiculo-volkswagen-saveiro/84004,84004,"R$ 11.400,00",02/04/2021,23/04/2021 10:30:00,"R$ 1.000,00",Fechado,Volkswagen,SAVEIRO,2008,"R$ 19.000,00",MOGI MIRIM/SP
https://www.lut.com.br//lote/veiculo-renault-sandero-exp/83610,83610,"R$ 20.000,00",20/04/2021,23/04/2021 09:30:00,"R$ 1.000,00",Fechado,RENAULT,RENAULT SANDERO EXP,2012,"R$ 20.000,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-chevrolet/83104,83104,"R$ 32.500,00",19/04/2021,22/04/2021 10:30:00,"R$ 1.000,00",Fechado,Chevrolet,1966,fabricação1966,"R$ 32.500,00",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-mitsubishi-l/83719,83719,"R$ 32.187,00",18/03/2021,22/04/2021 10:00:00,"R$ 1.000,00",Fechado,MITSUBISHI,L200,2010,"R$ 53.645,00",CAMPINAS/SP
https://www.lut.com.br//lote/veiculo-chevrolet-s/83502,83502,"R$ 19.254,91",19/04/2021,22/04/2021 09:30:00,"R$ 1.000,00",Fechado,Chevrolet,S10,Not found,"R$ 19.254,91",SÃO PAULO/SP
https://www.lut.com.br//lote/motocicleta-honda-biz/83692,83692,"R$ 3.280,80",15/03/2021,19/04/2021 10:00:00,"R$ 150,00",Fechado,Honda,HONDA BIZ,2010,"R$ 5.468,00",BRAGANÇA PAULISTA/SP
https://www.lut.com.br//lote/veiculo-chevrolet-corsa-sedan/83693,83693,"R$ 9.901,80",15/03/2021,19/04/2021 10:00:00,"R$ 300,00",Fechado,Chevrolet,CORSA SEDAN,Not found,"R$ 16.503,00",LAVRAS/MG
https://www.lut.com.br//lote/veiculo-nissan-march-s/83877,83877,"R$ 23.264,00",16/04/2021,19/04/2021 09:30:00,"R$ 1.000,00",Fechado,Nissan,MARCH 10S,2011,"R$ 23.264,00",ARARAQUARA/SP
https://www.lut.com.br//lote/motocicleta-honda-biz/83674,83674,"R$ 3.234,00",12/03/2021,16/04/2021 14:00:00,"R$ 150,00",Fechado,Honda,HONDA BIZ,fabricação2012,"R$ 5.390,00",ARARAQUARA/SP
https://www.lut.com.br//lote/motocicleta-yamaha-fazer/83624,83624,"R$ 4.650,00",12/03/2021,16/04/2021 10:00:00,"R$ 200,00",Fechado,Yamaha,YAMAHA FAZER,Not found,"R$ 7.750,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-fiat-uno/83625,83625,"R$ 6.420,26",12/03/2021,16/04/2021 10:00:00,"R$ 250,00",Fechado,FIAT,/ UNO,2003,"R$ 10.700,44",RIBEIRÃO PRETO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-golf-gl/83139,83139,"R$ 9.772,00",13/04/2021,16/04/2021 09:30:00,"R$ 300,00",Fechado,Volkswagen,GOLF GL,1998,"R$ 9.772,00",ARAÇATUBA/SP
https://www.lut.com.br//lote/veiculo-chevrolet-vectra-gls/83554,83554,"R$ 8.394,00",12/04/2021,15/04/2021 11:00:00,"R$ 300,00",Fechado,Chevrolet,VECTRA GLS,1995,"R$ 8.394,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/motocicleta-kasinski-cruise/83606,83606,"R$ 1.951,20",11/03/2021,15/04/2021 11:00:00,"R$ 100,00",Fechado,Not Found,KASINSKI CRUISE,2005,"R$ 3.252,00",SÃO PAULO/SP
https://www.lut.com.br//lote/veiculo-mitsubishi-pajero/83604,83604,"R$ 12.794,40",11/03/2021,15/04/2021 10:30:00,"R$ 1.000,00",Fechado,MITSUBISHI,PAJERO,1999,"R$ 21.324,00",JUNDIAI/SP
https://www.lut.com.br//lote/veiculo-volkswagen-passat/83603,83603,"R$ 2.617,20",11/03/2021,15/04/2021 10:00:00,"R$ 150,00",Fechado,Volkswagen,PASSAT,1986,"R$ 4.362,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/motocicleta-honda-cg/83601,83601,"R$ 2.400,00",11/03/2021,15/04/2021 10:00:00,"R$ 150,00",Fechado,Honda,HONDA CG 150,2010,"R$ 4.000,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-vw-saveiro/83602,83602,"R$ 17.668,20",11/03/2021,15/04/2021 10:00:00,"R$ 1.000,00",Fechado,Not Found,/ SAVEIRO,2015,"R$ 29.447,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-renault-logan/83549,83549,"R$ 19.941,00",12/04/2021,15/04/2021 10:00:00,"R$ 1.000,00",Fechado,RENAULT,LOGAN,2011,"R$ 19.941,00",CAMPINAS/SP
https://www.lut.com.br//lote/motocicleta-suzuki/83600,83600,"R$ 2.408,70",11/03/2021,15/04/2021 09:30:00,"R$ 150,00",Fechado,SUZUKI,SUZUKI,2011,"R$ 3.441,00",SANTA CRUZ DO RIO PARDO/SP
https://www.lut.com.br//lote/veiculo-ford-ka/82942,82942,"R$ 17.813,00",10/04/2021,13/04/2021 09:30:00,"R$ 1.000,00",Fechado,Ford,KA,2011,"R$ 17.813,00",SOROCABA/SP
https://www.lut.com.br//lote/veiculo-peugeot/83375,83375,"R$ 6.000,00",08/03/2021,12/04/2021 12:00:00,"R$ 250,00",Fechado,Peugeot,207,defabricação2010,"R$ 10.000,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-fiat-palio-fire/83553,83553,"R$ 18.000,00",09/04/2021,12/04/2021 11:30:00,"R$ 1.000,00",Fechado,FIAT,FIAT PALIO FIRE,2008,"R$ 18.000,00",JABOTICABAL/SP
https://www.lut.com.br//lote/veiculo-chevrolet-corsa-hatch/83097,83097,"R$ 14.186,73",09/04/2021,12/04/2021 11:00:00,"R$ 1.000,00",Fechado,Chevrolet,CHEVROLET CORSA HATCH,2003,"R$ 14.186,73",VINHEDO/SP
https://www.lut.com.br//lote/veiculo-ford-escort/83374,83374,"R$ 3.240,00",08/03/2021,12/04/2021 11:00:00,"R$ 150,00",Fechado,Ford,ESCORT,1995,"R$ 5.400,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-nissan-x-trail-se/83304,83304,"R$ 56.000,00",09/04/2021,12/04/2021 10:30:00,"R$ 2.500,00",Fechado,Nissan,NISSAN X TRAIL SE,2008,"R$ 56.000,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-logus/83370,83370,"R$ 2.700,00",08/03/2021,12/04/2021 10:00:00,"R$ 150,00",Fechado,Volkswagen,VOLKSWAGEN LOGUS,1993,"R$ 4.500,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-c/83371,83371,"R$ 4.200,00",08/03/2021,12/04/2021 10:00:00,"R$ 200,00",Fechado,Chevrolet,CHEVROLET C1404,fabricação1977,"R$ 7.000,00",OSASCO/SP
https://www.lut.com.br//lote/veiculo-chevrolet-prisma/83368,83368,"R$ 9.600,00",08/03/2021,,"R$ 300,00",,Chevrolet,CHEVROLET / PRISMA,2008,"R$ 16.000,00",MOGI MIRIM/SP
https://www.lut.com.br//lote/veiculo-chevrolet-corsa/83372,83372,"R$ 4.680,00",08/03/2021,12/04/2021 10:00:00,"R$ 200,00",Fechado,Chevrolet,CHEVROLET / CORSA,mod.1997,"R$ 7.800,00",BRAGANÇA PAULISTA/SP
https://www.lut.com.br//lote/veiculo-vw-up/83369,83369,"R$ 14.703,00",08/03/2021,12/04/2021 10:00:00,"R$ 1.000,00",Fechado,Not Found,VW / UP,2014,"R$ 24.505,00",SÃO JOSÉ DOS CAMPOS/SP
https://www.lut.com.br//lote/veiculo-fiat-uno-sporting/82793,82793,"R$ 30.433,00",09/04/2021,12/04/2021 10:00:00,"R$ 1.000,00",Fechado,FIAT,FIAT UNO SPORTING,defabricação2014,"R$ 30.433,00",SERTÃOZINHO/SP
https://www.lut.com.br//lote/veiculo-volkswagen-fusca/83106,83106,"R$ 2.000,00",09/04/2021,12/04/2021 09:30:00,"R$ 150,00",Fechado,Volkswagen,VOLKSWAGEN FUSCA,Not found,"R$ 2.000,00",RESTINGA/SP
https://www.lut.com.br//lote/veiculo-nissan-versa/83309,83309,"R$ 23.100,00",05/03/2021,09/04/2021 11:00:00,"R$ 1.000,00",Fechado,Nissan,NISSAN VERSA,2015,"R$ 33.000,00",ARAÇATUBA/SP
https://www.lut.com.br//lote/motocicleta-honda-cg-today/83310,83310,"R$ 809,20",05/03/2021,09/04/2021 11:00:00,"R$ 70,00",Fechado,Honda,HONDA/ CG 125 TODAY,Not found,"R$ 1.232,00",DIADEMA/SP
https://www.lut.com.br//lote/veiculo-hyundai-i/83308,83308,"R$ 14.174,50",05/03/2021,09/04/2021 10:00:25,"R$ 1.000,00",Fechado,Hyundai,HYUNDAI I30,2009,"R$ 28.349,00",CAMPINAS/SP
https://www.lut.com.br//lote/motocicleta-honda-c-dream/83555,83555,"R$ 2.311,00",05/04/2021,08/04/2021 10:30:00,"R$ 150,00",Fechado,Honda,HONDA C100 DREAM,1997,"R$ 2.311,00",INDAIATUBA/SP
https://www.lut.com.br//lote/motocicleta-honda-cg/83271,83271,"R$ 2.700,00",04/03/2021,08/04/2021 10:00:00,"R$ 150,00",Fechado,Honda,HONDA CG 150,2007,"R$ 4.500,00",CAMPINAS/SP
https://www.lut.com.br//lote/motocicleta-honda-cg/83103,83103,"R$ 4.600,00",05/04/2021,08/04/2021 10:00:00,"R$ 200,00",Fechado,Honda,HONDA CG 125,2013,"R$ 4.600,00",INDAIATUBA/SP
https://www.lut.com.br//lote/motocicleta-yamaha-neo/82783,82783,"R$ 3.212,00",05/04/2021,08/04/2021 09:30:00,"R$ 150,00",Fechado,Yamaha,YAMAHA NEO,Not found,"R$ 3.212,00",SERTÃOZINHO/SP
